CAISNID,HellS1,HellS2,HellS3,HellS4,HellS5
06-263,0.476407567,0.447987614,0.429122369,0.42321327,0.457260809
06-264,0.535022535,0.482296708,0.356231292,0.437764326,0.403239921
06-266,0.539075575,0.645091447,0.452855613,0.296945018,0
06-267,0.450979012,0.520239642,0.521390116,0.418009284,0.281760948
06-268,0.585283918,0.638381837,0.3910352,0.213519307,0.226742902
06-269,1,0,0,0,0
06-270,0.493678762,0.503788735,0.416125236,0.403083074,0.40846299
06-271,0.2671095,0.30598287,0.411836801,0.551778976,0.600797311
06-272,0.428050486,0.311422094,0.326389831,0.541591927,0.56562967
06-273,0.509189393,0.48467124,0.408905976,0.443320553,0.376938642
06-274,0.660967447,0.494798114,0.44591413,0.345626169,0
