LakeNum,CAISNID,S1,S2,S3,S4,S5
273,06-047,1.802673215,0.64343006,0,0,0
31,06-048,1.765546345,0.776419075,0.271675781,0,0
339,06-049,1.037688939,0.853662006,1.214016353,0.726327274,0.17280459
300,06-050,0.729959678,1.00401237,0.915586435,0.920606421,0.461775015
139,06-051,0.726343913,0.743180003,0.89967364,1.104575361,0.530523692
174,06-052,0.37654323,0.307424134,0.360968497,0.65370674,0.904592629
157,06-053,1.322620566,1.06913233,0.60216526,0.626288101,0.310504356
222,06-054,1.444905045,0.85652699,0.915200276,0.536419361,0
312,06-055,1.412937479,0.979946324,0.7702425,0.526707975,0
210,06-056,0.906547114,1.163855418,1.073833289,0.74819935,0.196864606
335,06-057,1.264431751,1.246580128,0.779200251,0.256050551,0
119,06-059,1.019270753,0.498903544,0.443590775,0.672827831,0.711637334
38,06-060,1.569582021,0.964198471,0.398656656,0.394731874,0.228701933
351,06-061,0.949724776,0.994333155,0.781132737,0.69355153,0.520953083
294,06-064,1.726256796,0.754495982,0.206073479,0.141442605,0.181683524
127,06-065,1.782147859,0.673962732,0.467376578,0,0
252,06-066,1.658500306,0.950365325,0.404144565,0.054357717,0
101,06-081,0.785505316,1.440220537,0.933489567,0.436258231,0.156171256
108,06-083,1.736648515,0.282027535,0.145668794,0,0.18620984
267,06-095,1.87448519,0.465787663,0,0,0
212,06-096,1.242501172,1.39547948,0.096728038,0.069231952,0.127444768
215,06-097,1.200311484,0.668004878,0.969454926,0.837955365,0.316378374
221,06-098,0.826963123,1.00741839,1.191687053,0.83378153,0.233923606
229,06-099,0.673646419,0.678287404,0.45936743,0.286241463,0.757829231
313,06-103,1.102378887,0.928288024,0.751570693,0.372186125,0.542356412
104,06-104,1.819170853,0.699048945,0.124233156,0,0
120,06-105,1.133853232,0.967623956,0.994744811,0.830110905,0.171513196
121,06-107,1.329710297,0.47940992,0.920678514,0.884616557,0.299094564
148,06-108,1.620333502,0.726733386,0.675798585,0.578754831,0.067982294
224,06-109,1.885633943,0.239745181,0,0.086577091,0
299,06-110,1.654484172,0.882585326,0.316101805,0.211524302,0
20,06-113,1.045743823,1.376221419,0.807013157,0.455652781,0.114630936
327,06-116,1.286300707,1.107674912,0.821886464,0.50994917,0
29,06-118,1.852431674,0.557871754,0.137517918,0.12834948,0
41,06-121,1.558469303,1.081670505,0.389042326,0.195693727,0.116618672
352,06-124,1.708028479,0.785936841,0.428572266,0.156483988,0.193952997
97,06-125,1.597704431,0.840566372,0.611325563,0.452816752,0.086838034
103,06-127,1.396174979,0.849306347,0.737235611,0.738798812,0.272986966
110,06-128,1.384664364,1.157590739,0.290319944,0.243828108,0.34831509
124,06-131,1.311710274,0.613418721,0.763807657,0.785931247,0.41649185
131,06-132,1.628703969,0.905363596,0.399598296,0.41342275,0.1810759
138,06-134,1.182648626,1.194225631,0.622898076,0.624596402,0.332443077
152,06-137,1.689688728,0.922256274,0.388974636,0.061039476,0.092179163
167,06-138,1.734815549,0.876097945,0.273100023,0.075578843,0
168,06-139,1.28723453,1.097019503,0.933432255,0.424693741,0.126702191
184,06-140,1.850805918,0.58310682,0.17175518,0.041704289,0
189,06-141,1.204068194,0.640638609,1.087764804,0.876689193,0.254913209
193,06-142,1.119949949,1.45110045,0.668336186,0.208101618,0
194,06-143,1.704892812,0.871713824,0.261254266,0.15271631,0.121768661
208,06-144,0.811283814,0.645313134,0.559005582,0.681243004,0.74634311
216,06-148,1.750202993,0.803629888,0.28044128,0.198977721,0.076223614
220,06-150,0.805269475,0.574198892,1.269660151,0.930805467,0.382460813
235,06-153,1.46960923,0.967029629,0.718017849,0.553214701,0.129019178
266,06-156,1.846349537,0.570163178,0.043737274,0.073788431,0
278,06-158,1.63581828,0.701283299,0.26706356,0.110354387,0.37955459
285,06-159,1.114760341,0.983309836,0.458813439,0.283674167,0.571587753
290,06-160,1.109982617,1.092597328,0.667719901,0.390697802,0.45440291
296,06-162,0.98048394,1.457961684,0.683364625,0.2114966,0.225970773
301,06-163,1.161031877,1.042188263,0.620620076,0.30369911,0.48897261
309,06-164,1.592312518,1.100423025,0.244299528,0.128334049,0
310,06-165,1.834805286,0.373154441,0.074603734,0.464252606,0
328,06-168,1.744045662,0.737229478,0.472352171,0.084129286,0
346,06-172,1.19960021,1.284871174,0.736811294,0.391774615,0.19507888
353,06-174,1.013072938,1.287776827,0.85374239,0,0.353228595
187,06-175,1.916159545,0.379601707,0.08911542,0.058598008,0
337,06-176,1.58791413,1.086795041,0.350951131,0,0
145,06-177,1.53493892,0.968251959,0.636380723,0.09750575,0.171125254
219,06-182,1.685239693,0.576187465,0.388201258,0.321973186,0.272874081
164,06-184,0.985592981,1.166187435,0.650874006,0.630966731,0.459233179
117,06-185,1.473296832,0.751538089,0.948216178,0.401213599,0.105174046
126,06-186,0.692259975,1.363573773,1.054662896,0.535366984,0
154,06-189,0.960498688,1.495678128,0.470552293,0.442694924,0.303838961
341,06-198,1.797926484,0.717642757,0.187183025,0.152474801,0.072286947
286,06-199,0.919623158,1.033345241,0.731881699,0.559505246,0.5363039
163,06-209,0.682837237,1.037191664,1.070385653,0.565878709,0.478883231
171,06-210,1.817948263,0.511280732,0.339553523,0.211717197,0
291,06-212,1.648822954,0.666966974,0.245368351,0,0
333,06-214,1.590613817,0.445500541,0.233808535,0,0
15,06-216,0.988015866,0.685913165,1.01294267,0.813790959,0.479288008
25,06-217,1.701272383,0.979112256,0.127379029,0,0
253,06-223,1.739398577,0.781324667,0.175477263,0.147660949,0
315,06-224,1.647535347,0.850189554,0.258901623,0.244200706,0
115,06-228,1.634525428,1.058570321,0.117008671,0,0
160,06-229,1.805160651,0.671410814,0.38087937,0.137500205,0
239,06-232,1.406779135,0.69483015,0.535817521,0.286295172,0.511762437
179,06-236,1.375879069,1.296796037,0.556475668,0.21449364,0
304,06-245,1.817998794,0.598841075,0.256223079,0.377882816,0
99,06-249,1.749893172,0.785950523,0.243719437,0.211774883,0.148710818
305,06-250,1.571723751,0.99428066,0.337822692,0.120366413,0.227974053
28,06-252,1.915552328,0.408720227,0.11701157,0.055610122,0
