CAISNID,CAL,TPL,SIO3L,DOCL,PH,INVERT,DEPTHL,AREAL,BythoDens,MaxTL,LAKE,SAMPLE DATE,LATITUDE,LONGITUDE
06-132,0.204119983,1.139879086,-0.026872146,0.963787827,5.63,9,0.939519253,1.399467842,0,3.67,Dump Lake,12-Jul-10,453300,790400
06-134,0.28780173,0.857332496,-1,0.740362689,6.34,12,1.117271296,2.333827475,0,3.67,Echo Lake (2),28-Jul-10,451100,790400
06-137,0.209515015,0.73239376,-0.397940009,0.591064607,6.38,7,0.785329835,1.464788009,0,3.67,Flossie Lake,14-Jul-10,452700,785300
06-138,0.649334859,0.748188027,-1,0.431363764,6.41,10,1.396199347,1.805970242,0,4.29,Grandview Lake,5-Aug-10,451200,790300
06-139,0.278753601,0.819543936,0,0.826074803,6.08,5,0.812913357,1.220973195,0,3.67,Grape Lake,12-Aug-10,453100,784000
06-140,0.187520721,0.792391689,-0.853871964,0.591064607,6.03,9,0.740362689,1.298060188,0,3.56,Heney Lake,15-Jul-10,450800,790600
06-141,0.264817823,0.934498451,0.260071388,0.806179974,6.3,9,1.336459734,1.190094949,0,4.29,Hungry Lake,11-Jul-10,453200,790200
06-142,0.176091259,0.84509804,-0.207608311,0.51851394,6.06,1,0.875061263,2.20372798,0,3.67,Islet Lake,2-Aug-10,453700,785300
06-143,0.342422681,0.698970004,-0.356547324,0.698970004,6.2,6,1.383815366,2.150752497,0,4.29,Joe Lake,29-Aug-10,453500,784300
06-144,0.301029996,0.662757832,-0.086186148,0.770852012,6.21,7,1.285557309,2.004472018,0,3.56,Linda Lake,3-Aug-10,453700,783600
06-148,0.28780173,0.748188027,-0.337242168,0.716003344,6.07,4,1.243038049,2.082889972,0,4.29,Littledoe Lake,29-Aug-10,453700,784200
06-150,0.553883027,0.73239376,-0.744727495,0.255272505,7.13,8,1.190331698,1.422303438,0,4.29,Longline Lake,19-Jul-10,451500,785900
06-153,0.198657087,0.662757832,-0.045757491,0.568201724,5.07,10,1.685741739,2.625909393,0,4.29,McCraney Lake,9-Aug-10,453400,785400
06-156,0.404833717,1.017033339,-0.119186408,0.838849091,6.59,2,0.643452676,1.635714151,0,3.67,Park Lake,26-Jul-10,452500,785100
06-158,0.230448921,0.681241237,-0.096910013,0.591064607,6.07,11,1.342422681,2.245070886,0,4.29,Rain Lake,2-Aug-10,453700,785600
06-159,0.45331834,0.806179974,0.017033339,0.698970004,6.27,4,0.963787827,2.143584626,0,3.67,Ril Lake,29-Jul-10,451000,790000
06-160,0.193124598,0.447158031,-0.795880017,0.477121255,6.02,11,1.450249108,2.107894109,0,3.67,Rockaway Lake,4-Aug-10,452300,783800
06-162,0.428134794,0.944482672,-0.236572006,0.380211242,6.94,6,1.086359831,0.953312532,0,3.67,Roundabout Lake,19-Jul-10,451500,785800
06-163,0.418301291,0.662757832,-0.337242168,0.579783597,6.36,5,1.181843588,1.598735311,0,3.67,Shoe Lake,31-Aug-10,451200,785500
06-164,0.338456494,0.531478917,-0.15490196,0.643452676,6.15,7,1.728353782,2.813911181,0,4.29,Smoke Lake,12-Aug-10,453100,784100
06-165,0.204119983,1.041392685,0.133538908,0.968482949,5.66,4,0.908485019,1.427659705,0,3.67,Snowshoe Lake,1-Aug-10,453400,784800
